day_of_month,breakfast_menu,lunch_menu,teatime_menu,dinner_menu
1,燕麥粥配水果,烤雞沙拉,草本茶與餅乾,烤魚配蔬菜
2,炒蛋,蔬菜湯,蜂蜜優格,炒豆腐配米飯
3,全麥吐司,藜麥沙拉,新鮮水果,扁豆燉菜
4,香蕉菠菜奶昔,火雞三明治,餅乾與起司,烤雞配地瓜
5,堅果粥,菠菜與費塔起司沙拉,綠茶與鬆餅,蔬菜咖哩配米飯
6,優格配格蘭諾拉,烤蔬菜捲,水果沙拉,牛肉燉菜
7,煎餅配糖漿,雞凱薩沙拉,鬆餅,意大利麵配番茄醬
8,水煮蛋,扁豆沙拉,草本茶,烤鮭魚配蘆筍
9,水果奶昔,米飯與豆類,燕麥餅乾,填充甜椒
10,奶酪配水果,金槍魚沙拉,茶與餅乾,雞肉炒菜
11,法式吐司,蔬菜炒菜,優格配漿果,肉餅配馬鈴薯泥
12,奇亞籽布丁,蛋餅,新鮮水果,蝦仁與玉米粥
13,麥片配牛奶,雞肉麵條湯,餅乾與鷹嘴豆泥,蔬菜千層麵
14,奶昔碗,卡布里沙拉,茶與餅乾,烤豬排
15,蔬菜煎蛋,牛肉與西蘭花,水果奶昔,烤義大利麵
16,貝果配奶油起司,雞肉與米飯,起司與餅乾,蔬菜炒菜
17,穀物配牛奶,希臘沙拉,草本茶,魚塔可
18,水果沙拉,意大利麵沙拉,優格配格蘭諾拉,填充西葫蘆
19,牛油果吐司,雞肉捲,茶與鬆餅,牛肉燉菜
20,漿果奶昔,蔬菜咖哩,新鮮水果,烤雞配藜麥
21,炒豆腐,扁豆湯,餅乾與起司,烤鱈魚配蔬菜
22,過夜燕麥,菠菜沙拉,蜂蜜優格,雞肉派
23,煎餅配水果,藜麥碗,茶與餅乾,蔬菜炒菜
24,燕麥粥配蜂蜜,火雞與起司三明治,新鮮水果,烤雞配西蘭花
25,芒果奶昔,烤蝦沙拉,草本茶,意大利麵春季菜
26,優格杯,雞肉凱薩捲,燕麥餅乾,填充甜椒
27,全麥吐司,蔬菜湯,水果沙拉,牛肉與蔬菜燉菜
28,奇亞籽布丁,金槍魚沙拉,茶與餅乾,烤鮭魚
29,水果奶昔,雞肉與蔬菜炒菜,餅乾與起司,蔬菜咖哩
30,起司煎蛋,藜麥與黑豆沙拉,優格配水果,烤鱸魚配蘆筍
31,漿果粥,烤雞沙拉,草本茶與餅乾,蔬菜千層麵
